time,pwmL,pwmR,encL,encR
22.0775928497314,400,400,645,762
22.0890960693359,400,400,598,717
22.1006851196289,400,400,552,671
22.1120567321777,400,400,506,625
22.1235771179199,400,400,461,580
22.1350688934326,400,400,415,534
22.1465740203857,400,400,368,489
22.1580848693848,400,400,322,443
22.1695957183838,400,400,276,396
22.1810703277588,400,400,230,350
22.192569732666,400,400,184,304
22.2043037414551,400,400,136,256
22.215799331665,400,400,89,210
22.2272129058838,400,400,44,164
22.2386817932129,400,400,-2,117
22.2496242523193,400,400,-46,73
22.2603130340576,400,400,-89,31
22.2710094451904,400,400,-132,-11
22.2818565368652,0,0,-174,-54
22.2925853729248,0,0,-202,-82
22.3033695220947,0,0,-219,-100
22.3138618469238,0,0,-231,-112
22.3243885040283,0,0,-240,-121
22.3354015350342,0,0,-246,-128
22.3463935852051,0,0,-249,-131
22.3569240570068,0,0,-250,-133
22.3678436279297,0,0,-251,-134
22.378849029541,0,0,-252,-134
22.3893184661865,0,0,-252,-134
22.4002895355225,0,0,-252,-134
22.4113483428955,0,0,-252,-134
22.4219169616699,0,0,-252,-134
22.4328937530518,0,0,-252,-134
22.4438362121582,0,0,-252,-134
22.4542808532715,0,0,-252,-134
22.4652080535889,0,0,-252,-134
22.4761772155762,0,0,-252,-134
22.486837387085,0,0,-252,-134
22.4978065490723,0,0,-252,-134
22.5087299346924,0,0,-252,-134
22.5192489624023,0,0,-252,-134
22.5302047729492,0,0,-252,-134
22.541223526001,0,0,-252,-134
22.5517997741699,0,0,-251,-133
22.5626811981201,0,0,-251,-133
22.5735931396484,0,0,-251,-133
22.5842094421387,0,0,-249,-132
22.5951175689697,0,0,-246,-131
22.606128692627,0,0,-246,-130
22.6166172027588,0,0,-246,-130
22.6275882720947,0,0,-246,-130
22.6384525299072,0,0,-246,-130
22.6489334106445,0,0,-247,-130
22.6598205566406,0,0,-247,-130
22.6707172393799,0,0,-247,-130
22.6812648773193,0,0,-247,-130
22.6922492980957,0,0,-247,-130
22.7032928466797,0,0,-247,-130
22.7139167785645,0,0,-247,-130
22.7249126434326,0,0,-247,-130
22.735876083374,0,0,-247,-130
22.7463073730469,0,0,-247,-130
22.7572498321533,0,0,-247,-130
22.7683296203613,0,0,-247,-130
22.7794723510742,500,500,-238,-121
22.7905616760254,500,500,-218,-99
22.801685333252,500,500,-194,-72
22.8121757507324,500,500,-166,-43
22.8238258361816,500,500,-127,-3
22.8355083465576,500,500,-85,41
22.8467693328857,500,500,-42,84
22.8561763763428,500,500,-5,122
22.8668727874756,500,500,38,167
22.8784275054932,500,500,86,216
22.8900089263916,500,500,135,266
22.9016056060791,500,500,185,317
22.9131736755371,500,500,234,368
22.9247703552246,500,500,284,420
22.9362735748291,500,500,333,470
22.9479007720947,500,500,383,522
22.9593811035156,500,500,433,573
22.9710845947266,500,500,483,625
22.9818725585937,500,500,529,673
22.993537902832,500,500,581,726
23.0051937103271,500,500,633,780
23.0168571472168,500,500,685,834
23.0283699035645,500,500,736,887
23.0400257110596,500,500,788,941
23.0516204833984,500,500,840,996
23.0631942749023,500,500,892,1049
23.0737380981445,500,500,940,1099
23.0846652984619,500,500,992,1152
23.0955257415771,500,500,1045,1205
23.1071090698242,500,500,1102,1263
23.1187534332275,500,500,1160,1322
23.130428314209,500,500,1212,1380
23.1421432495117,500,500,1267,1437
23.1537704467773,500,500,1321,1493
23.1653251647949,500,500,1375,1548
23.1758651733398,500,500,1423,1596
23.1867008209228,500,500,1471,1644
23.1975173950195,500,500,1519,1692
23.2091693878174,500,500,1572,1746
23.2207851409912,500,500,1624,1798
23.232292175293,500,500,1675,1850
23.2439575195312,500,500,1727,1903
23.2554378509521,500,500,1782,1958
23.2662925720215,0,0,1826,2002
23.2770519256592,0,0,1852,2029
23.2878971099854,0,0,1870,2048
23.2983875274658,0,0,1881,2060
23.309061050415,0,0,1887,2066
23.3200168609619,0,0,1890,2069
23.3310489654541,0,0,1891,2070
23.3415184020996,0,0,1891,2070
23.3525085449219,0,0,1891,2070
23.3635578155518,0,0,1891,2070
23.3740844726562,0,0,1891,2070
23.3850212097168,0,0,1890,2070
23.3959693908691,0,0,1890,2070
23.4074726104736,0,0,1889,2070
23.4180126190186,0,0,1888,2070
23.4280014038086,0,0,1887,2070
23.4399528503418,0,0,1887,2070
